formula,capacity
Na0-3Co,628.6385462
Na0-3Ca,737.3354283
Na0.5-1C,382.8731685
Na0-3Fe,644.1925195
Na0-3Cd,443.2920221
Na0-3Cs,398.2887387
Na0-3Ni,629.8193482
Na0-3Ag,454.6798042
Na1-2Sn,162.739427
Na0-3Sn,428.4140024
Na2-3C,330.9641708
Na0-3Re,315.0936861
Na0-3Ce,384.553292
Na0-3Sb,421.5631271
Na0-3Ca,737.3354283
Na0.5-1CoO2,117.6310836
Na0-1CoO2,235.2621671
Na0-1Ca2Rh,130.0719051
Na0-1CrO3,217.9264461
Na0-0.5CrO2,140.3369022
Na0-1VS2,194.1274427
Na0-1VS2,194.1274427
Na0-0.67NbS2,103.6629973
Na0-1CrN2,260.2104008
Na0.5-0.67NbSe2,16.78326122
Na0-1ScSn,143.5878135
Na0.5-0.75CoO2,61.94048795
Na0-0.5CrS2,105.0042092
Na0-0.5VO2,141.9041073
Na0-0.5VO2,141.9041073
Na0-0.5Nb3S4,32.02287307
Na1-2KSb,129.5772637
Na0-1WO3,105.1748017
Na0-0.5PrCl3,51.78799311
Na0-0.6VO2,166.2379497
Na0-2V6O13,95.78444578
Na0-0.5Mo3Se4,21.78433579
Na0-1TiS2,198.5489488
Na0-0.25FeSb3,15.69642268
Na0-1SbO3,139.0493568
Na0-1NbSe2,97.8813018
Na0-3ClO,667.6906089
Na1-3BiF6,136.7631396
Na0-2NiO2,392.2022421
Na0-0.5TiO2,146.6795113
Na0-0.5TiO2,146.6795113
Na0-0.5VO2,141.9041073
Na0-1CuO2,226.1068759
Na0-1Ti8O13,43.65645328
Na0-1NbO2,181.219719
Na0-1NbO3,163.5290128
Na0-0.25Ce2Se3,12.81485949
Na0-1CuO2,226.1068759
Na0-1V6O11,53.1109247
Na0.67-1CrSe2,38.35810182
Na0-0.5CuO,147.1957236
Na0-1V2O5,130.82204
Na0-0.5FeO2,134.899517
Na0.69-0.75WO3,6.725104495
Na0-0.12WO3,14.27360454
Na0-1Fe5O8,62.29860547
Na0-0.5CuO,147.1957236
Na0-2Mo15Se19,17.9555192
Na1-3CrF6,228.1405955
Na0-1TiS2,198.5489488
Na0-3Mo15Se19,26.72745227
Na0-0.5Nb3Se4,22.11146206
Na0-1MnO2,243.8124864
Na0-1CuSe,161.9466241
Na0-1TiO2,260.573942
Na0-0.75CoO2,185.8214639
Na0-1CuO,261.3881786
Na0-1SbO3,139.0493568
Na5-7Cu7O13,65.87213608
Na1-2CuO2,189.3771871
Na0-1CrS2,192.6558148
Na0-0.33VO2,98.60349197
Na0-1Cr3O8,87.30884356
Na0-0.31TiO2,96.21427866
Na2-3Ni2O5,100.6238724
Na0-0.5SnO2,82.61674574
Na0-0.5CrO2,140.3369022
Na5-6CuO4,100.9539606
Na0-1Ni3O4,101.8805975
Na4-5Ti3O8,69.33598398
Na0-0.5NiO2,131.1392787
Na2-2.17Ti4O9,11.59412841
Na0-0.5CrO2,140.3369022
Na0.33-0.5V2O5,23.09976051
Na4-7Ti11O24,75.04257737
Na0-0.5Cu3O4,50.35402311
Na0.12-1MnO2,213.3359256
Na0-0.25CrO2,74.6623067
Na0-9Mn15O32,156.3316122
Na0-1.5V12O29,36.22587892
Na0-0.5FeO2,134.899517
Na0.5-1MnO2,121.9062432
Na0-9Mn21O40,120.5715265
Na0-0.5MnO2,136.142488
Na0-1.25V9O22,39.92129501
Na0-1NiO2,235.7584172
Na0-1FeO2,241.8173602
Na0-0.5V3S4,45.80206698
Na0-1AgO,182.5000766
Na0-0.5BiO2,53.07768752
Na0-1NbS2,148.8754898
Na0-0.5Ti3Se4,28.45555204
Na0-1CeSe2,83.48700855
Na0-2RbSb,211.6959271
Na0-1Mo3P3O13,43.813082
Na0-1V3P3O13,56.21967852
Na0-1Mn3P3O13,54.84044906
Na0-1MgMn2O4,121.1812988
Na0-3Ge3(MoO6)2,119.8702826
Na0-4MgMn4O8,231.0415464
Na0-1Ti3P3O13,57.32884962
Na0-1Mn2P2O9,79.10522322
Na0-1Fe3P3O13,54.536823
Na0-1Cr2P2O9,80.50327893
Na0-1Mo2P2O9,63.68993266
Na0-1Ti4(CuO4)3,44.88694395
Na0-1Mn(GeO3)2,83.96343139
Na0-1V4(CuO4)3,43.98108277
Na0-2LiVF6,246.0516757
Na0-1V2P2O9,81.01654941
Na0-1Ni2P2O9,77.3896462
Na0-2LiNbF6,206.3101822
Na0-1V(NF3)2,124.1182308
Na0-1MgMn4O8,67.8446115
Na0-2CoP2O7,192.2244859
Na0-1NdNb4O12,36.67165338
Na0-1SbWO7,60.8315002
Na0-1PrNb4O12,36.83972689
Na0-1TaWO7,53.62726088
Na0-1NbWO7,65.09448973
Na0-1Mn6P7O24,28.11088701
Na0.17-0.33HfNCl,18.95869222
Na0-1CoPO4,151.5112537
